# adc8 adc7 adc6 adc5 adc4 adc3 adc2 adc1
    -13500        -61        -75        -94        -26        -39        -86        -46
    -25751        -58        -77       -100        -20        -39        -87        -50
    -24464        -60        -82        -97        -22        -39        -83        -46
    -18404        -59        -76        -97        -20        -41        -88        -47
      7726        -60        -77        -95        -23        -37        -86        -51
     25200        -61        -80       -101        -21        -37        -87        -52
     15120        -59        -78        -96        -25        -38        -86        -45
    -11101        -59        -78        -98        -25        -37        -84        -49
    -25762        -64        -78        -99        -25        -36        -87        -52
    -12900        -55        -77        -99        -22        -38        -86        -50
     14239        -55        -77        -96        -23        -39        -87        -46
     25263        -59        -79        -98        -21        -34        -85        -49
      9143        -61        -75        -98        -23        -39        -84        -48
    -16829        -58        -74       -100        -29        -41        -87        -44
    -25164        -59        -77        -98        -27        -37        -85        -50
     -6367        -59        -77       -102        -26        -35        -83        -51
     19575        -55        -76        -96        -22        -40        -88        -52
     23543        -58        -79        -96        -21        -45        -85        -49
      2368        -60        -75        -97        -23        -38        -86        -46
    -21390        -60        -74        -99        -26        -43        -85        -51
    -22663        -62        -78        -98        -21        -39        -85        -46
       671        -62        -72        -98        -22        -36        -87        -51
     23281        -59        -76        -99        -22        -41        -85        -52
     20046        -62        -75        -98        -19        -37        -88        -49
     -4539        -56        -74       -100        -24        -38        -86        -48
    -24461        -61        -77        -98        -18        -34        -82        -49
    -18397        -60        -75        -97        -24        -39        -86        -50
      7725        -57        -73        -98        -24        -39        -83        -49
     25196        -61        -76        -98        -26        -39        -86        -49
     15132        -60        -76        -97        -20        -40        -83        -49
    -11109        -59        -74       -101        -22        -38        -85        -49
    -25766        -64        -76        -97        -22        -39        -85        -45
    -12899        -58        -77        -99        -26        -41        -88        -51
     14229        -63        -75        -97        -23        -36        -82        -45
     25263        -61        -74       -100        -22        -35        -84        -49
      9140        -62        -75        -99        -20        -34        -86        -49
    -16830        -60        -78       -102        -23        -36        -83        -49
    -25164        -60        -75        -98        -22        -39        -82        -48
     -6367        -59        -76        -97        -23        -36        -88        -47
     19577        -62        -79       -103        -24        -34        -88        -46
     23543        -57        -75        -98        -23        -36        -89        -45
      2375        -58        -76        -97        -22        -37        -87        -48
    -21398        -62        -77        -98        -23        -37        -81        -52
    -22669        -59        -76        -99        -21        -34        -85        -44
       670        -62        -74        -99        -19        -39        -85        -48
     23279        -59        -76        -98        -19        -37        -87        -52
     20044        -61        -76        -97        -24        -35        -85        -46
     -4548        -62        -78        -97        -23        -40        -83        -47
    -24469        -56        -76       -100        -20        -40        -85        -47
    -18407        -59        -75        -99        -27        -35        -90        -49
      7720        -65        -79        -96        -23        -39        -85        -45
     25192        -62        -76       -100        -22        -35        -86        -46
     15131        -62        -73        -95        -22        -32        -84        -44
    -11105        -62        -74        -95        -22        -35        -87        -49
    -25762        -60        -77        -98        -25        -39        -88        -44
    -12897        -60        -81        -94        -22        -39        -88        -48
     14237        -64        -76       -100        -21        -35        -88        -47
     25262        -64        -77        -98        -22        -38        -90        -48
      9141        -60        -75       -100        -23        -38        -79        -44
    -16832        -60        -77        -97        -25        -38        -83        -49
    -25166        -59        -74        -97        -21        -35        -87        -49
     -6372        -59        -73        -94        -23        -35        -84        -50
     19573        -62        -75        -98        -22        -38        -84        -51
     23541        -61        -75       -101        -19        -37        -89        -46
      2373        -60        -75        -95        -23        -39        -83        -50
    -21390        -63        -74       -100        -21        -39        -83        -47
    -22665        -66        -76        -94        -25        -37        -85        -43
       667        -63        -77        -97        -25        -38        -84        -46
     23279        -62        -74        -97        -22        -35        -85        -48
     20042        -58        -75        -99        -23        -38        -86        -45
     -4544        -62        -77        -94        -22        -39        -84        -46
    -24467        -61        -74        -97        -23        -37        -83        -47
    -18397        -58        -80        -95        -23        -37        -85        -44
      7727        -57        -78        -99        -19        -39        -86        -44
     25194        -61        -72        -97        -24        -37        -84        -43
     15130        -60        -78        -99        -22        -36        -85        -50
    -11102        -62        -74       -100        -26        -39        -86        -47
    -25760        -60        -72        -98        -26        -39        -81        -45
    -12900        -61        -74       -100        -20        -36        -83        -44
     14241        -59        -76       -100        -19        -38        -85        -47
     25261        -60        -73       -101        -23        -41        -85        -46
      9141        -60        -76        -96        -18        -34        -87        -49
    -16829        -63        -74       -100        -20        -33        -85        -45
    -25167        -60        -76        -91        -23        -39        -84        -50
     -6362        -59        -74       -101        -25        -37        -84        -52
     19573        -62        -75        -97        -22        -37        -81        -46
     23542        -59        -74        -95        -23        -36        -81        -49
      2371        -62        -76        -92        -23        -35        -82        -47
    -21394        -59        -79       -101        -23        -37        -83        -47
    -22665        -60        -74        -98        -21        -36        -86        -49
       676        -57        -78        -95        -21        -37        -83        -48
     23283        -57        -77        -97        -23        -37        -89        -48
     20044        -59        -75        -98        -24        -36        -84        -48
     -4539        -57        -75        -98        -26        -38        -82        -50
    -24466        -59        -77        -96        -25        -36        -85        -46
    -18399        -57        -76        -98        -21        -38        -86        -48
      7727        -61        -76        -97        -23        -34        -87        -50
     25195        -66        -78        -95        -19        -38        -82        -46
     15131        -61        -78        -97        -22        -34        -86        -50
    -11101        -63        -79       -102        -24        -35        -83        -46
    -25765        -62        -78        -98        -23        -40        -84        -49
    -12898        -62        -83        -98        -21        -36        -86        -45
     14233        -64        -75        -98        -19        -39        -85        -49
     25260        -62        -74        -99        -21        -35        -82        -48
      9141        -64        -79       -100        -22        -37        -87        -45
    -16832        -61        -73        -94        -22        -35        -83        -49
    -25165        -60        -76        -99        -21        -37        -85        -48
     -6380        -59        -76        -96        -22        -33        -83        -46
     19578        -57        -75        -98        -20        -35        -85        -48
     23539        -57        -79        -97        -25        -36        -80        -53
      2368        -60        -82        -94        -19        -36        -86        -47
    -21394        -57        -77        -97        -20        -42        -86        -51
    -22666        -63        -77       -100        -22        -36        -84        -47
       667        -57        -76        -99        -18        -36        -87        -50
     23282        -63        -74        -94        -22        -35        -83        -46
     20045        -57        -75        -97        -20        -39        -84        -46
     -4535        -63        -74        -98        -24        -35        -88        -46
    -24466        -65        -80        -98        -24        -36        -87        -43
    -18398        -60        -76       -100        -21        -39        -86        -49
      7724        -59        -75        -96        -22        -33        -85        -47
     25194        -59        -77       -100        -24        -40        -86        -50
     15134        -57        -76        -97        -20        -37        -85        -47
    -11107        -59        -72        -98        -24        -36        -85        -49
    -25764        -60        -79        -97        -23        -38        -85        -46
    -12901        -61        -77        -98        -27        -37        -86        -47
     14246        -60        -77        -99        -21        -38        -85        -49
     25261        -63        -79        -99        -22        -40        -85        -49
      9141        -60        -78        -96        -23        -35        -87        -48
    -16838        -62        -71        -97        -24        -42        -81        -46
    -25167        -58        -73        -97        -27        -37        -84        -50
     -6371        -61        -77       -100        -20        -39        -85        -47
     19573        -62        -79        -96        -22        -36        -87        -49
     23545        -62        -76        -95        -26        -39        -85        -52
      2371        -58        -77        -96        -21        -39        -87        -43
    -21402        -61        -76        -96        -24        -35        -88        -48
    -22666        -62        -77        -98        -22        -36        -86        -50
       673        -60        -75        -98        -22        -35        -84        -48
     23283        -57        -75        -99        -23        -38        -89        -53
     20044        -60        -78        -95        -23        -38        -85        -46
     -4542        -58        -74        -97        -21        -39        -85        -51
    -24464        -62        -77        -96        -20        -36        -85        -52
    -18404        -58        -78        -93        -26        -39        -86        -50
      7720        -62        -78       -101        -23        -40        -83        -46
     25197        -61        -78        -96        -20        -35        -84        -49
     15127        -63        -75        -96        -24        -40        -87        -46
    -11106        -62        -80        -99        -19        -35        -85        -48
    -25762        -58        -77       -100        -21        -38        -85        -48
    -12902        -55        -77        -97        -23        -36        -86        -47
     14238        -63        -78        -97        -24        -39        -86        -50
     25265        -62        -77        -96        -27        -39        -84        -49
      9142        -62        -77        -97        -28        -38        -86        -47
    -16828        -59        -75        -98        -22        -37        -82        -49
    -25167        -59        -73        -98        -26        -35        -85        -50
     -6368        -59        -74       -101        -23        -39        -87        -48
     19577        -62        -81       -102        -21        -39        -88        -47
     23544        -61        -75        -98        -20        -37        -86        -48
      2367        -58        -76       -103        -22        -36        -86        -46
    -21395        -61        -77       -100        -19        -35        -85        -50
    -22667        -58        -80        -98        -25        -39        -82        -49
       669        -63        -74        -98        -23        -36        -85        -47
     23282        -58        -77        -94        -24        -37        -84        -50
     20046        -60        -73        -97        -22        -36        -85        -46
     -4543        -59        -75        -99        -24        -37        -84        -52
    -24467        -60        -78        -97        -26        -38        -88        -49
    -18403        -61        -75        -98        -22        -40        -83        -47
      7724        -59        -73        -97        -20        -37        -85        -48
     25198        -60        -77        -96        -19        -38        -84        -49
     15125        -64        -76        -98        -21        -37        -85        -49
    -11108        -60        -74       -103        -24        -42        -86        -46
    -25765        -61        -80        -96        -23        -41        -85        -46
    -12906        -62        -75        -96        -28        -40        -83        -49
     14234        -62        -82        -97        -24        -40        -88        -48
     25261        -63        -78       -102        -25        -39        -85        -46
      9146        -62        -77        -99        -25        -41        -86        -46
    -16832        -57        -76        -96        -23        -40        -87        -49
    -25166        -61        -77        -95        -24        -37        -86        -44
     -6371        -60        -79        -96        -20        -38        -87        -48
     19577        -61        -79        -97        -24        -33        -83        -50
     23541        -59        -78        -99        -20        -41        -88        -48
      2375        -61        -76        -96        -23        -36        -87        -48
    -21400        -61        -74        -93        -24        -36        -87        -47
    -22668        -66        -77        -97        -22        -35        -85        -47
       678        -61        -73        -98        -22        -41        -83        -50
     23279        -62        -78        -93        -25        -36        -83        -49
     20046        -63        -77        -97        -23        -40        -84        -44
     -4541        -58        -78        -98        -23        -34        -84        -47
    -24466        -61        -76        -96        -20        -35        -90        -46
    -18400        -63        -75       -100        -26        -35        -88        -48
      7722        -61        -75        -97        -24        -40        -85        -50
     25197        -61        -76        -96        -21        -40        -85        -45
     15133        -60        -76        -99        -20        -37        -86        -45
    -11106        -62        -78        -96        -26        -35        -83        -50
    -25769        -59        -77        -96        -25        -39        -87        -50
